fsq_id,categories,closed_bucket,distance,location,name,latitude,longitude
5748bdbf498e3b6d10222371,Burger Joint,VeryLikelyOpen,394,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",Bar Ape,43.666763,-79.315564
59bc5ac94b78c5276f4bd18b,Diner,VeryLikelyOpen,212,"1483 Queen St E, Toronto ON M4L 1E2",Queen of Persia,43.665121,-79.321347
4ad4c05cf964a52018f620e3,Egyptian Restaurant,VeryLikelyOpen,356,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Dutch Dreams Icecream Parlor Toronto,43.671682,-79.328462
4aeb7abbf964a52080c221e3,Café,VeryLikelyOpen,450,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",Ferro Bar & Cafe,43.66388,-79.326107
5557fce2498e63ff8af4ce9f,Pizzeria,VeryLikelyOpen,408,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Booyah,43.666623,-79.316861
53dec142498e2c0cf1b311b1,Ice Cream Parlor,VeryLikelyOpen,155,"1698 Queen St W, Scarborough ON M6R 1B3",Sea Witch Fish & Chips,43.667418,-79.312824
59a1fae23af98819c17d2c8a,Bistro,VeryLikelyOpen,495,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",Craque de Creme,43.671324,-79.32719
5013f8d5e4b02c1e0c0af2bf,Fish and Chips Shop,VeryLikelyOpen,1438,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",Emma's Country Kitchen,43.668614,-79.317268
4adc5a0bf964a520d12b21e3,Indian Restaurant,LikelyOpen,431,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",The Bagel House,43.67205,-79.322451
4b15383bf964a52079a923e3,Bar,VeryLikelyOpen,595,"1471 Gerrard St E, Toronto ON M4L 2A1",Capocaccia Cafe,43.672346,-79.320804
52acedc011d2bf5586251c3c,Burger Joint,VeryLikelyOpen,354,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",Union Social Eatery,43.666763,-79.315564
5a119e738a6f175e860cac17,Diner,VeryLikelyOpen,373,"1483 Queen St E, Toronto ON M4L 1E2",Mary Be Kitchen,43.665121,-79.321347
52fbfe3411d22ddfbf78fe11,Egyptian Restaurant,LikelyOpen,959,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Kibo Sushi House,43.671682,-79.328462
5890f70e65be581749d7522e,Café,VeryLikelyOpen,957,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",Nutbar,43.66388,-79.326107
508046d819a95ab643d68731,Pizzeria,LikelyOpen,527,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Sunny Morning,43.666623,-79.316861
59f2a6423b83077c097bb5b6,Ice Cream Parlor,LikelyOpen,374,"1698 Queen St W, Scarborough ON M6R 1B3",Mermaid Fish and Grill House,43.667418,-79.312824
4cc9ae6141e75481dff85d84,Bistro,VeryLikelyOpen,801,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",Flaming Stove,43.671324,-79.32719
4b59169df964a520f17b28e3,Fish and Chips Shop,LikelyOpen,884,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",Pizza Pizza,43.668614,-79.317268
4aee242ef964a52077d221e3,Indian Restaurant,LikelyOpen,373,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Tabule Restaurant,43.67205,-79.322451
4ae6ea6ef964a52082a721e3,Bar,VeryLikelyOpen,977,"1471 Gerrard St E, Toronto ON M4L 2A1",Jules Cafe Patisserie,43.672346,-79.320804
4cc9ae6141e75481dff85d84,Burger Joint,VeryLikelyOpen,94,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",Flaming Stove,43.666763,-79.315564
4ad772faf964a520a70a21e3,Diner,VeryLikelyOpen,907,"1483 Queen St E, Toronto ON M4L 1E2",The Keg Steakhouse + Bar,43.665121,-79.321347
4b59169df964a520f17b28e3,Egyptian Restaurant,LikelyOpen,152,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Pizza Pizza,43.671682,-79.328462
4ae5077ef964a52018a021e3,Café,VeryLikelyOpen,447,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",St. Louis Bar and Grill,43.66388,-79.326107
4af9b4eaf964a520891322e3,Pizzeria,VeryLikelyOpen,115,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Bull & Firkin,43.666623,-79.316861
4b9e7b59f964a520bfe736e3,Ice Cream Parlor,LikelyOpen,20,"1698 Queen St W, Scarborough ON M6R 1B3",Second Cup Coffee Co,43.667418,-79.312824
4b4f6b9bf964a520d20527e3,Bistro,VeryLikelyOpen,147,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",Subway,43.671324,-79.32719
4b4ff5d6f964a5205d1a27e3,Fish and Chips Shop,VeryLikelyOpen,106,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",Tim Hortons,43.668614,-79.317268
4ae338e1f964a520e39121e3,Indian Restaurant,VeryLikelyOpen,433,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Le Select Bistro,43.67205,-79.322451
4af0c5c1f964a5200fdf21e3,Bar,VeryLikelyOpen,573,"1471 Gerrard St E, Toronto ON M4L 2A1",Rodney's Oyster House,43.672346,-79.320804
4df796f1aeb7da11e1a974d4,Burger Joint,VeryLikelyOpen,611,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",SOMA chocolatemaker,43.666763,-79.315564
544fc36c498ea63958331891,Diner,VeryLikelyOpen,608,"1483 Queen St E, Toronto ON M4L 1E2",Wilbur Mexicana,43.665121,-79.321347
54490365498e78a9fe510022,Egyptian Restaurant,VeryLikelyOpen,381,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Starbucks,43.671682,-79.328462
4c10f2d95a43d13a97d7174b,Café,VeryLikelyOpen,348,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",Music Garden Cafe,43.66388,-79.326107
58e8216e6cea3f7650d24012,Pizzeria,VeryLikelyOpen,27,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Bobo Tea & Juice,43.666623,-79.316861
4b2274c1f964a5200f4724e3,Ice Cream Parlor,VeryLikelyOpen,697,"1698 Queen St W, Scarborough ON M6R 1B3",Jimmy's Coffee,43.667418,-79.312824
4fcc0dd177167574f0de38d5,Bistro,VeryLikelyOpen,669,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",Bar Hop,43.671324,-79.32719
4dcb3ddefa76d745f0514d24,Fish and Chips Shop,VeryLikelyOpen,621,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",WVRST,43.668614,-79.317268
59f7bad335811b13a241e498,Indian Restaurant,VeryLikelyOpen,95,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Gyubee,43.67205,-79.322451
4df15e3c1f6e818dadf7afc0,Bar,VeryLikelyOpen,332,"1471 Gerrard St E, Toronto ON M4L 2A1",Fresh on Bloor,43.672346,-79.320804
4b17d44af964a52099c823e3,Burger Joint,VeryLikelyOpen,35,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",L'Espresso Bar Mercurio,43.666763,-79.315564
4b58a308f964a520db6228e3,Diner,LikelyOpen,547,"1483 Queen St E, Toronto ON M4L 1E2",Cobs Bread,43.665121,-79.321347
5707bcb9498e709b544e20b2,Egyptian Restaurant,VeryLikelyOpen,688,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Her Father's Cider Bar + Kitchen,43.671682,-79.328462
5362c366498e602fbe1db395,Café,VeryLikelyOpen,585,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",Yasu,43.66388,-79.326107
4bba7d86cf2fc9b62ba6a102,Pizzeria,VeryLikelyOpen,697,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Summer's Sweet Memories Inc,43.666623,-79.316861
5b720ce2e17910002c42733f,Ice Cream Parlor,VeryLikelyOpen,576,"1698 Queen St W, Scarborough ON M6R 1B3",Alobar Yorkville,43.667418,-79.312824
